 , , OBJECT 1, , , , , , , OBJECT 2,,,,,,,,,,,,,,,,
t, , x1, y1, vx1, vy1, ax1, ay1, , x2, y2, vx2, vy2, ax2, ay2,,,,,,,,,,,
0.114, ,0.60604,-0.549178,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.115, ,0.61004,-0.546978,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.116, ,0.61404,-0.544778,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.117, ,0.61804,-0.542578,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.118, ,0.62204,-0.540378,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.119, ,0.62604,-0.538178,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.12, ,0.63004,-0.535978,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.121, ,0.63404,-0.533778,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.122, ,0.63804,-0.531578,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.123, ,0.64204,-0.529378,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.124, ,0.64604,-0.527178,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.125, ,0.65004,-0.524978,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.126, ,0.65404,-0.522778,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.127, ,0.65804,-0.520578,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.128, ,0.66204,-0.518378,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.129, ,0.66604,-0.516178,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.13, ,0.67004,-0.513978,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.131, ,0.67404,-0.511778,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.132, ,0.67804,-0.509578,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.133, ,0.68204,-0.507378,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.134, ,0.68604,-0.505178,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.135, ,0.69004,-0.502978,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.136, ,0.69404,-0.500778,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.137, ,0.69804,-0.498578,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.138, ,0.70204,-0.496378,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.139, ,0.70604,-0.494178,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.14, ,0.71004,-0.491978,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.141, ,0.71404,-0.489778,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.142, ,0.71804,-0.487578,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.143, ,0.72204,-0.485378,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.144, ,0.72604,-0.483178,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.145, ,0.73004,-0.480978,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.146, ,0.73404,-0.478778,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.147, ,0.73804,-0.476578,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
